(Ahho Zurako; is noble of; Goa Kingdom)
(Aggie; is member of; Spade Pirates)
(Ahho Desunen; is noble of; Goa Kingdom)
(Zengaiina; is prisoner of; Level 2 of Impel Down)
(Akumai; is Billions agent of; Mr. 2 Bon Kurei)
(Bakezo; is member of; G-5 branch of Marines)
(Banshee; is member of; Spade Pirates)
(Barry; is member of; Spade Pirates)
(Beer VI; is king of; Roshwan Kingdom)
(Bellett; is prince of; unnamed kingdom)
(Bellett; is king of; North Blue kingdom)
(Arlong; is murdered by; Arlong)
(Baby; is member of; Happo Navy)
(Bepo; is navigator of; Heart Pirates)
(Bimine; is mayor of; gourmet town)
(Bobby Funk; is assassin of; Mogaro Kingdom)
(Bomba; is member of; Marines G-5 Branch Unit 01)
(Blueno; is assassin of; CP9)
(Bellamy Hyena; is member of; Donquixote Pirates)
(Boodle; is mayor of; Orange Town)
(Shichibukai; king of; Sorbet Kingdom)
(Buche; is member of; WCI 31)
(Boo; is member of; Chinjao Family)
(Bunny Joe; is member of; Revolutionary Army)
(Capote; is member of; Foxy Pirates)
(Cabaji Acrobat; is member of; Buggy)
(Warrior Beast Tribe; is member of; Inuarashi Musketeer Squad)
(Catarina Devon; is member of; Marshall D. Teach crew)
(Dracule Mihawk; is member of; Shichibukai)
(Jinbe; is member of; Shichibukai)
(Crocodile; is member of; Shichibukai)
(Donquixote Doflamingo; is member of; Shichibukai)
(Bartholomew Kuma; is member of; Shichibukai)
(Gecko Moria; is member of; Shichibukai)
(Boa Hancock; is member of; Shichibukai)
(Marshall D. Teach; is member of; Shichibukai)
(Trafalgar Law; is member of; Shichibukai)
(Buggy; is member of; Shichibukai)
(Edward Weevil; is member of; Shichibukai)
(Rope-Tugging Chappe; is prisoner of; Caesar Clown)
(Chaka Jackal; is guards of; Alabasta kingdom)
(Cavendish ; is prince of; Bourgeois Kingdom)
(Charlotte Montb; is member of; Charlotte Oven 's army)
(Charlotte Panna; is member of; Charlotte Oven 's army)
(Charlotte Yuen; is member of; Charlotte Oven 's army)
(Charlotte Raisin; is member of; Big Mom 's army)
(Mr. 3; is member of; Baroque Works)
(Miss Goldenweek; is member of; Baroque Works)
(Chew; is member of; Sun Pirates)
(Chocolat; is member of; Fake Straw Hat Crew)
(Clione; is member of; Heart Pirates)
(Columbus; is member of; Yonta Maria Grand Fleet)
(Cornelia; is member of; Spade Pirates)
(Charlotte Lola; is member of; Thriller Bark Victim 's Association)
(Daikoku; is member of; Orochi Oniwabanshu)
(Crocus; is doctor of; Gol D. Roger 's crew)
(Dalton; is king of; Sakura Kingdom)
(Dobby Ibadonbo; is prisoner of; Level 6 Impel Down)
(Didit; is noble of; Dawn Island)
(Decades; is matriarch of; Charlotte Family)
(Dogya; is member of; Spade Pirates)
(DJ Gappa; is member of; Red Arrows Pirates)
(Dogra; is member of; Dadan 's bandits)
(Saint Donquixote Mjosgard; is member of; Donquixote Family)
(Drip; was member of; Fake Straw Hat Crew)
(Ducky Bree; is member of; Spade Pirates)
